pergunta;alternativa1;alternativa2;alternativa3;alternativa4;correta
Qual a relação entre a gestão de projetos e a busca pela "melhoria contínua" dentro da FAB?;A gestão de projetos visa a manter os processos existentes funcionando da mesma forma, sem alterações.;A melhoria contínua é um obstáculo à gestão de projetos, pois exige mudanças constantes no planejamento.;A gestão de projetos, com suas fases de planejamento, execução, monitoramento e avaliação, fornece ferramentas e informações que podem ser utilizadas para promover a melhoria contínua dos processos dentro da FAB.;A gestão de projetos e a melhoria contínua são independentes e não se relacionam.;A gestão de projetos, com suas fases de planejamento, execução, monitoramento e avaliação, fornece ferramentas e informações que podem ser utilizadas para promover a melhoria contínua dos processos dentro da FAB.
Por que o gerenciamento de projetos é crucial para a FAB, considerando o contexto de recursos limitados, como mencionado na página 15?;Porque os projetos militares são naturalmente mais complexos e desafiadores do que projetos em outros setores.;Porque a FAB precisa se manter atualizada com as últimas tendências tecnológicas, o que exige investimentos constantes em projetos inovadores.;Porque a gestão eficiente de projetos permite otimizar o uso dos recursos disponíveis, evitando desperdícios e garantindo que os projetos estratégicos, como o KC-390, sejam concluídos com sucesso, mesmo com limitações orçamentárias.;Porque a FAB precisa justificar seus gastos junto ao governo e a sociedade, e a gestão de projetos demonstra transparência na aplicação dos recursos públicos.;Porque a gestão eficiente de projetos permite otimizar o uso dos recursos disponíveis, evitando desperdícios e garantindo que os projetos estratégicos, como o KC-390, sejam concluídos com sucesso, mesmo com limitações orçamentárias.
A "gestão de riscos" é um processo fundamental na gestão de projetos. Qual a sua principal finalidade?;Eliminar todos os riscos potenciais que podem afetar o projeto.;Ignorar os riscos, pois a maioria deles nunca se concretiza.;Identificar, analisar e avaliar os riscos potenciais que podem impactar o projeto, desenvolvendo planos de ação para minimizar as ameaças e aproveitar as oportunidades.;Transferir os riscos para outras áreas da organização.;Identificar, analisar e avaliar os riscos potenciais que podem impactar o projeto, desenvolvendo planos de ação para minimizar as ameaças e aproveitar as oportunidades.
O que diferencia os projetos dos processos dentro de uma organização?;Os projetos são atividades complexas e inovadoras, enquanto os processos são atividades simples e repetitivas.;Os projetos possuem um início e um fim bem definidos, enquanto os processos são contínuos.;Os projetos visam a criar algo novo ou melhorar algo existente, enquanto os processos visam a manter as operações funcionando de forma eficiente.;Os projetos envolvem apenas a equipe interna da organização, enquanto os processos exigem a participação de stakeholders externos.;Os projetos visam a criar algo novo ou melhorar algo existente, enquanto os processos visam a manter as operações funcionando de forma eficiente.
O que é o "escopo" de um projeto?;A fase de planejamento do projeto, onde são definidas as etapas de execução.;O conjunto de metas, objetivos, entregas e requisitos que delimitam o trabalho a ser realizado durante o projeto.;O orçamento detalhado do projeto, incluindo custos diretos e indiretos.;O plano de comunicação do projeto, que define como os stakeholders serão informados sobre o andamento das atividades.;O conjunto de metas, objetivos, entregas e requisitos que delimitam o trabalho a ser realizado durante o projeto.
Qual a função da "Estrutura Analítica do Projeto (EAP)"?;É um documento que define os papéis e responsabilidades de cada membro da equipe do projeto.;É uma representação gráfica do cronograma do projeto, mostrando as atividades e seus prazos em um gráfico de barras.;É uma ferramenta que organiza o trabalho do projeto em partes menores e mais gerenciáveis, facilitando a delegação de tarefas e o acompanhamento do progresso.;É um software utilizado para controlar os custos do projeto.;É uma ferramenta que organiza o trabalho do projeto em partes menores e mais gerenciáveis, facilitando a delegação de tarefas e o acompanhamento do progresso.
O que significa dizer que o planejamento de um projeto deve ser "realista"?;Que o planejamento deve ser desafiador, mas possível de ser executado com os recursos disponíveis, considerando os riscos e as incertezas inerentes ao projeto.;Que o planejamento deve ser detalhado, incluindo todas as atividades, mesmo as menos importantes.;Que o planejamento deve ser flexível, permitindo alterações ao longo do projeto.;Que o planejamento deve ser aprovado por todos os stakeholders, mesmo que isso gere atrasos no início do projeto.;Que o planejamento deve ser desafiador, mas possível de ser executado com os recursos disponíveis, considerando os riscos e as incertezas inerentes ao projeto.
Por que é importante definir indicadores de desempenho na gestão de projetos?;Para monitorar o andamento do projeto e verificar se os objetivos estão sendo atingidos, permitindo tomar ações corretivas quando necessário.;Para comparar o desempenho da equipe do projeto com o de outras equipes da organização.;Para justificar os gastos do projeto junto aos patrocinadores.;Para gerar relatórios complexos e abrangentes sobre o andamento do projeto.;Para monitorar o andamento do projeto e verificar se os objetivos estão sendo atingidos, permitindo tomar ações corretivas quando necessário.
Qual a importância da "gestão de stakeholders" em um projeto?;Identificar e satisfazer as necessidades de todos os stakeholders, mesmo que isso vá contra os objetivos do projeto.;Manter os stakeholders informados sobre o andamento do projeto, apenas quando estes solicitarem informações.;Gerenciar as expectativas dos stakeholders, garantir a comunicação eficiente e construir um relacionamento positivo, visando ao sucesso do projeto.;Controlar a influência dos stakeholders no projeto, evitando que estes interfiram nas decisões.;Gerenciar as expectativas dos stakeholders, garantir a comunicação eficiente e construir um relacionamento positivo, visando ao sucesso do projeto.
Qual a relação entre os conceitos de "sucesso" e "fracasso" na gestão de projetos?;Um projeto é considerado um sucesso quando atinge todos os seus objetivos dentro do prazo e do orçamento previstos, enquanto o fracasso ocorre quando os objetivos não são atingidos ou quando o projeto precisa ser cancelado antes da sua conclusão.;O sucesso e o fracasso são subjetivos e dependem da percepção dos stakeholders envolvidos.;O sucesso de um projeto é medido pelo lucro obtido, enquanto o fracasso é medido pelo prejuízo financeiro.;O sucesso e o fracasso são inevitáveis em qualquer projeto.;Um projeto é considerado um sucesso quando atinge todos os seus objetivos dentro do prazo e do orçamento previstos, enquanto o fracasso ocorre quando os objetivos não são atingidos ou quando o projeto precisa ser cancelado antes da sua conclusão.
