"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"Qual manual é usado como referência pelo RADA-e para definir a classificação de um material como Bem Móvel de Consumo?";"Manual de Licitações e Contratos";"Manual de Contabilidade Aplicada ao Setor Público (MCASP)";"Manual de Administração de Material da Aeronáutica";"Código Brasileiro de Aeronáutica";"Manual de Contabilidade Aplicada ao Setor Público (MCASP)"
"Quantos critérios o RADA-e utiliza, com base no MCASP, para classificar um material como Bem Móvel de Consumo?";"3";"4";"5";"6";"5"
"Se um material atende a pelo menos dois dos critérios do MCASP, ele pode ser classificado como Bem Móvel de Consumo?";"Sim";"Não";"Depende do valor do material";"Depende da natureza do material";"Não"
"Qual dos critérios abaixo NÃO é utilizado para definir um material como Bem Móvel de Consumo?";"Fragilidade";"Perecibilidade";"Custo de Aquisição";"Transformabilidade";"Custo de Aquisição"
"O que acontece com a identidade física de um Bem Móvel de Consumo, em uso normal, de acordo com o RADA-e?";"É mantida integralmente";"Perde a identidade física";"Sofre alterações parciais";"Depende do tipo de material";"Perde a identidade física"
"Segundo o MCASP, o que caracteriza um Material de Uso Duradouro?";"Aquele que, em razão de seu uso corrente, perde normalmente sua identidade física e/ou tem sua durabilidade reduzida a menos de 2 (dois) anos";"Aquele que, em razão de seu uso corrente, não perde a identidade física e/ou tem uma durabilidade superior a dois anos";"Aquele que, mesmo em uso normal, não perde ou não tem reduzidas as suas condições de funcionamento, mas possui valor inferior a R$ 1.000,00 (mil reais)";"Aquele que foi adquirido para fim de transformação em um novo bem";"Aquele que, em razão de seu uso corrente, não perde a identidade física e/ou tem uma durabilidade superior a dois anos"
"Por que os controles de materiais de uso duradouro podem ser simplificados?";"Porque são materiais de baixo valor";"Porque são materiais de fácil reposição";"Porque o custo do controle pode ser superior ao benefício";"Porque não são considerados bens patrimoniais";"Porque o custo do controle pode ser superior ao benefício"
"Qual a forma de controle simplificada para materiais de uso duradouro, quando o custo do controle é superior ao benefício?";"Registro por número patrimonial";"Controle individualizado";"Etiquetagem com código de barras";"Relação carga";"Relação carga"
"Um material adquirido como permanente que possui custo de controle superior ao seu benefício deve ser controlado como?";"Bem Móvel de Consumo";"Bem Móvel Permanente";"Material de Uso Duradouro com controle simplificado";"Material de Uso Duradouro com controle individualizado";"Material de Uso Duradouro com controle simplificado"
"Qual dos exemplos abaixo NÃO se enquadra como Material de Uso Duradouro, considerando a página 59 da apostila?";"Grampeador";"Perfurador manual para encadernação";"Mesa";"Tesoura";"Mesa"
