"pergunta";"alternativa1";"alternativa2";"alternativa3";"alternativa4";"correta"
"O que caracteriza um novo sistema tecnológico?";"Conjunto de inovações inter-relacionadas que impactam diversos setores da economia e geram novas atividades.";"Inovações que se restringem a um único setor da economia.";"Melhorias incrementais em um produto ou processo existente.";"Mudanças na legislação e regulamentação de um setor.";"Conjunto de inovações inter-relacionadas que impactam diversos setores da economia e geram novas atividades."
"O que caracteriza uma mudança de paradigma tecnológico?";"Transformação profunda na base tecnológica da sociedade, impulsionada por um conjunto de inovações radicais e incrementais.";"Melhorias pontuais em produtos e processos existentes.";"Introdução de um novo produto no mercado.";"Mudança na gestão de uma empresa.";"Transformação profunda na base tecnológica da sociedade, impulsionada por um conjunto de inovações radicais e incrementais."
"Quais as quatro dimensões básicas para a análise da difusão tecnológica?";"Direção, ritmo, fatores condicionantes e impactos.";"Invenção, desenvolvimento, produção e comercialização.";"Pesquisa, desenvolvimento, inovação e difusão.";"Custos, benefícios, riscos e oportunidades.";"Direção, ritmo, fatores condicionantes e impactos."
"O que significa 'dependência de trajetória tecnológica'?";"As decisões tomadas no passado limitam as opções tecnológicas disponíveis no presente.";"A tecnologia evolui de forma linear e previsível.";"A inovação é um processo aleatório e imprevisível.";"A difusão tecnológica é independente da trajetória tecnológica.";"As decisões tomadas no passado limitam as opções tecnológicas disponíveis no presente."
"O que é a Lei de Pearl?";"Um modelo que descreve o ritmo de difusão tecnológica em forma de 'S'.";"Uma lei que protege a propriedade intelectual.";"Um incentivo fiscal para empresas inovadoras.";"Um programa governamental de fomento à pesquisa e desenvolvimento.";"Um modelo que descreve o ritmo de difusão tecnológica em forma de 'S'."
"Quais os quatro estágios do ciclo de vida de uma tecnologia?";"Introdução, crescimento, maturação e declínio.";"Planejamento, implementação, monitoramento e avaliação.";"Pesquisa, desenvolvimento, produção e comercialização.";"Invenção, inovação, difusão e obsolescência.";"Introdução, crescimento, maturação e declínio."
"Quais os fatores que podem influenciar o ritmo de difusão tecnológica?";"Custos de aquisição e implantação, expectativas de retorno, disponibilidade de financiamento e incentivos fiscais, regulamentação do setor, qualificação da mão de obra, infraestrutura disponível e cultura de inovação.";"Todas as alternativas anteriores.";"Nenhuma das alternativas anteriores.";"Apenas os custos de aquisição e implantação da nova tecnologia.";"Todas as alternativas anteriores."
"Quais os impactos da difusão tecnológica?";"Aumento da produtividade, redução de custos, criação de novos mercados, desenvolvimento de novas habilidades, mudanças na estrutura de emprego, impactos ambientais e sociais.";"Todas as alternativas anteriores.";"Nenhuma das alternativas anteriores.";"Apenas o aumento da produtividade e a redução de custos.";"Todas as alternativas anteriores."
"Como a flexibilidade organizacional contribui para a difusão de novas tecnologias?";"Permite que a empresa se adapte às mudanças e incorpore as inovações de forma eficiente.";"Impede a empresa de inovar.";"Torna a empresa mais burocrática e resistente à mudança.";"Não há relação entre flexibilidade organizacional e difusão de novas tecnologias.";"Permite que a empresa se adapte às mudanças e incorpore as inovações de forma eficiente."
"Qual a importância da capacidade de absorção de conhecimento para a difusão tecnológica?";"Permite que a empresa transforme a informação em conhecimento útil para a implementação da inovação.";"É irrelevante para o processo de difusão tecnológica.";"Depende apenas da infraestrutura tecnológica da empresa.";"Está relacionada apenas à qualificação formal dos funcionários.";"Permite que a empresa transforme a informação em conhecimento útil para a implementação da inovação."
